"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"pen-in-mouth",1,7,4,5,3.5,0.75
"facial mimicry",6,7,3,5,3.38888888888889,0.75
"pen-in-mouth",1,7,1,2,3.88888888888889,0
"facial mimicry",1,7,1,NA,3.66666666666667,0
"facial mimicry",1,7,5,7,4.38888888888889,-1.5
"pen-in-mouth",1,7,2,7,4,-0.75
"voluntary facial action",1,7,5,6,3.77777777777778,0
"pen-in-mouth",5.5,7,4,6,4.38888888888889,0.5
"voluntary facial action",1.5,6,2,6,4.77777777777778,0
"pen-in-mouth",1,5,1,5,3.77777777777778,0
"facial mimicry",1.5,5,5,5,3.72222222222222,0
"pen-in-mouth",1,2,7,7,5.38888888888889,0.5
"pen-in-mouth",1,6,3,4,4,0
"pen-in-mouth",2,7,2,5,2.94444444444444,0
"voluntary facial action",2,7,6,3,3.5,1.5
"voluntary facial action",1,7,2,4,4.38888888888889,0.5
"pen-in-mouth",1,7,4,7,2.5,0.25
"facial mimicry",5.5,7,4,6,4.05555555555556,0.5
"facial mimicry",1,7,2,7,3.27777777777778,-0.25
"voluntary facial action",1,7,1,7,5.27777777777778,0
"facial mimicry",1.5,7,6,5,4.11111111111111,3.25
"pen-in-mouth",1,7,2,5,3.33333333333333,0
"voluntary facial action",4.5,5,5,6,4.55555555555556,3.75
"pen-in-mouth",1,7,3,6,4.88888888888889,1
"voluntary facial action",1,7,6,6,4.88888888888889,3.75
"pen-in-mouth",1,7,1,3,3.33333333333333,0
"voluntary facial action",1,4,3,7,6.05555555555556,1.25
"voluntary facial action",1,7,4,7,4.88888888888889,0.25
"facial mimicry",2,7,3,NA,4.94444444444444,0.25
"voluntary facial action",1,7,3,4,5.22222222222222,1
"pen-in-mouth",4.5,7,1,2,4.94444444444444,0
"facial mimicry",1.5,7,3,6,4.88888888888889,2.25
"pen-in-mouth",1,7,4,4,5.83333333333333,2.25
"facial mimicry",1,5,4,5,4.83333333333333,0
"voluntary facial action",2,1,4,3,3.83333333333333,-0.5
"facial mimicry",1,6,5,7,5.27777777777778,1
"voluntary facial action",NA,7,5,NA,5.94444444444444,0
"facial mimicry",1,7,2,3,3.83333333333333,-1
"voluntary facial action",1,7,1,7,1.88888888888889,0
"pen-in-mouth",1,7,1,7,3.66666666666667,0
"pen-in-mouth",1.5,7,4,7,2.77777777777778,0.75
"pen-in-mouth",1,7,5,5,3.05555555555556,0
"pen-in-mouth",1,7,1,6,4.83333333333333,1
"voluntary facial action",1,5,4,3,3.88888888888889,-0.25
"voluntary facial action",1,5,1,1,4.27777777777778,0
"facial mimicry",1,4,4,NA,4,0
"voluntary facial action",1,7,2,5,5.55555555555556,-0.75
"voluntary facial action",1.5,7,4,3,3,0.75
"facial mimicry",1,7,4,4,3.88888888888889,0.25
"voluntary facial action",3,7,1,1,NA,0
"pen-in-mouth",2,7,1,5,2.72222222222222,0
"voluntary facial action",4.5,6,3,5,4.66666666666667,-0.25
"voluntary facial action",1,7,6,4,5.05555555555556,-0.75
"voluntary facial action",1,6,6,5,3.88888888888889,0
"facial mimicry",1,6,2,4,5.11111111111111,-0.5
"facial mimicry",1.5,6,5,3,5.05555555555556,0.25
"pen-in-mouth",5,6,5,5,5.55555555555556,0.25
"pen-in-mouth",1,7,3,6,3.27777777777778,-0.75
"pen-in-mouth",1,7,1,7,1.44444444444444,0
"facial mimicry",2,7,5,7,4.77777777777778,-0.25
"voluntary facial action",2,7,6,6,3.66666666666667,1.75
"pen-in-mouth",5.5,7,7,6,2.11111111111111,0.25
"facial mimicry",1,7,7,7,5.66666666666667,0
"voluntary facial action",5,7,6,7,5.05555555555556,4.75
"voluntary facial action",1.5,6,3,5,4.77777777777778,-1.75
"voluntary facial action",2,5,4,5,3.44444444444444,-1
"facial mimicry",1,7,4,3,6,-0.5
